ATC_code,pvals,coeff,z.obs,SE,CI.high,CI.low,name,group,HR,HR_l,HR_u,p.adj.FDR,p.val.group,N.nonpd,N.pd,users.group,hover.text
A01,0.642673816358546,-0.08112246190567551,-0.46396361181875023,0.17484660399912227,0.26157058475174105,-0.4238155085630921,STOMATOLOGICAL PREPARATIONS,A,0.9220807647625013,0.6545446286492062,1.2989686257140909,1,(0.05-1],17129,33,(10k-30k],"drug name: STOMATOLOGICAL PREPARATIONS
HR (95% CI): 0.92 (0.65; 1.3)
 p-value: 6.4e-01 (adj.: 1.0e+00)
 PD-users: 33
 non-PD-users: 17129"
A02,0.6192741221989854,0.020596499777310418,0.4968793672776723,0.041451710684135584,0.1018403598157903,-0.06064736026116947,DRUGS FOR ACID RELATED DISORDERS,A,1.0208100714349189,0.941155069942383,1.1072067029365926,1,(0.05-1],303340,721,(250k-1mln],"drug name: DRUGS FOR ACID RELATED DISORDERS
HR (95% CI): 1.02 (0.94; 1.11)
 p-value: 6.2e-01 (adj.: 1.0e+00)
 PD-users: 721
 non-PD-users: 303340"
A03,0.03567818991521971,0.18406954428327968,2.100576145035795,0.08762812275017197,0.3558175089064717,0.012321579660087706,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A,1.202099419331996,1.0123978030652832,1.4273470463715936,1,(0.05-1],69224,136,(30k-100k],"drug name: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
HR (95% CI): 1.2 (1.01; 1.43)
 p-value: 3.6e-02 (adj.: 1.0e+00)
 PD-users: 136
 non-PD-users: 69224"
A04,0.17578030102459732,0.21524299692382892,1.353862338017729,0.15898440401184297,0.5268467028906063,-0.09636070904294852,ANTIEMETICS AND ANTINAUSEANTS,A,1.2401632162013383,0.9081363839763984,1.6935835078917159,1,(0.05-1],19936,40,(10k-30k],"drug name: ANTIEMETICS AND ANTINAUSEANTS
HR (95% CI): 1.24 (0.91; 1.69)
 p-value: 1.8e-01 (adj.: 1.0e+00)
 PD-users: 40
 non-PD-users: 19936"
A05,0.026609863702736603,0.7399611250587479,2.217193615317001,0.3337377123706685,1.3940750215880457,0.08584722852945004,BILE AND LIVER THERAPY,A,2.095854036708103,1.0896398497066528,4.031244033859632,1,(0.05-1],2600,9,(500-10k],"drug name: BILE AND LIVER THERAPY
HR (95% CI): 2.1 (1.09; 4.03)
 p-value: 2.7e-02 (adj.: 1.0e+00)
 PD-users: 9
 non-PD-users: 2600"
A06,0.030384506626363342,0.2868811917931061,2.165041508739864,0.1325060931326355,0.5465883620651819,0.027174021521030378,DRUGS FOR CONSTIPATION,A,1.3322659199475222,1.0275466024282276,1.727349861562696,1,(0.05-1],29584,58,(10k-30k],"drug name: DRUGS FOR CONSTIPATION
HR (95% CI): 1.33 (1.03; 1.73)
 p-value: 3.0e-02 (adj.: 1.0e+00)
 PD-users: 58
 non-PD-users: 29584"
A07,0.2770548594251275,0.09522333394508778,1.0869591590833418,0.08760525466788638,0.26692647795060453,-0.07647981006042895,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",A,1.0999044737029309,0.9263716174869907,1.3059444270902556,1,(0.05-1],64857,136,(30k-100k],"drug name: ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS
HR (95% CI): 1.1 (0.93; 1.31)
 p-value: 2.8e-01 (adj.: 1.0e+00)
 PD-users: 136
 non-PD-users: 64857"
A08,0.6579008162949872,-0.04199590597215257,-0.4428132532441703,0.09483886415882799,0.14388485211383684,-0.22787666405814194,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",A,0.9588737062201041,0.7962224566263489,1.1547511337170846,1,(0.05-1],65093,115,(30k-100k],"drug name: ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS
HR (95% CI): 0.96 (0.8; 1.15)
 p-value: 6.6e-01 (adj.: 1.0e+00)
 PD-users: 115
 non-PD-users: 65093"
A09,0.7759855233516272,-0.07905795344626228,-0.28455443604361425,0.2778306834553966,0.4654801799264631,-0.6235960868189877,"DIGESTIVES, INCL. ENZYMES",A,0.9239863746986925,0.5360134168334165,1.592778825710184,1,(0.05-1],5557,13,(500-10k],"drug name: DIGESTIVES, INCL. ENZYMES
HR (95% CI): 0.92 (0.54; 1.59)
 p-value: 7.8e-01 (adj.: 1.0e+00)
 PD-users: 13
 non-PD-users: 5557"
A10,0.8876683192220933,-0.009563361357830287,-0.14125522616478717,0.0677027081934211,0.12313150835709988,-0.14225823107276045,DRUGS USED IN DIABETES,A,0.9904822221561304,0.8673972386435307,1.1310331514791976,1,(0.05-1],83559,239,(30k-100k],"drug name: DRUGS USED IN DIABETES
HR (95% CI): 0.99 (0.87; 1.13)
 p-value: 8.9e-01 (adj.: 1.0e+00)
 PD-users: 239
 non-PD-users: 83559"
A11,0.03680248993035807,-0.1704428736739658,-2.087948395732552,0.08163174627415364,-0.01044759098151296,-0.3304381563664186,VITAMINS,A,0.8432912623842308,0.7186088014209248,0.9896067955296857,1,(0.05-1],109358,157,(100k-250k],"drug name: VITAMINS
HR (95% CI): 0.84 (0.72; 0.99)
 p-value: 3.7e-02 (adj.: 1.0e+00)
 PD-users: 157
 non-PD-users: 109358"
A12,0.3574499056541902,-0.05287906497840617,-0.9202351192213017,0.05746255915895947,0.05974548143265657,-0.16550361138946892,MINERAL SUPPLEMENTS,A,0.9484947117750279,0.8474668026667098,1.0615663238185893,1,(0.05-1],144187,338,(100k-250k],"drug name: MINERAL SUPPLEMENTS
HR (95% CI): 0.95 (0.85; 1.06)
 p-value: 3.6e-01 (adj.: 1.0e+00)
 PD-users: 338
 non-PD-users: 144187"
A14,0.4733471723872718,0.3209628519706227,0.7170436358773388,0.4476196927372608,1.198281328506539,-0.5563556245652935,ANABOLIC AGENTS FOR SYSTEMIC USE,A,1.3784543730790786,0.5732945619900781,3.3144156331518126,1,(0.05-1],2014,5,(500-10k],"drug name: ANABOLIC AGENTS FOR SYSTEMIC USE
HR (95% CI): 1.38 (0.57; 3.31)
 p-value: 4.7e-01 (adj.: 1.0e+00)
 PD-users: 5
 non-PD-users: 2014"
