ATC_code,pvals,coeff,z.obs,SE,CI.high,CI.low,name,group,HR,HR_l,HR_u,p.adj.FDR,p.val.group,N.pd,N.nonpd,users.group,hover.text
A01,0.6855432214114213,0.06768654780281974,0.40491060685820035,0.16716417563870725,0.39532231156001374,-0.25994921595437426,STOMATOLOGICAL PREPARATIONS,A,1.0700298526984684,0.7710907439167748,1.484862702215868,1,(0.05-1],32,13440,(10k-30k],"drug name: STOMATOLOGICAL PREPARATIONS
HR (95% CI): 1.07 (0.77; 1.48)
 p-value: 6.9e-01 (adj.: 1.0e+00)
 PD-users: 32
 non-PD-users: 13440"
A02,0.4576363516082324,0.026216996414667966,0.7427445511005475,0.03529746044696179,0.09539874763644013,-0.042964754807104204,DRUGS FOR ACID RELATED DISORDERS,A,1.0265636849451216,0.9579451524337277,1.1000974289297976,1,(0.05-1],903,374533,(250k-1mln],"drug name: DRUGS FOR ACID RELATED DISORDERS
HR (95% CI): 1.03 (0.96; 1.1)
 p-value: 4.6e-01 (adj.: 1.0e+00)
 PD-users: 903
 non-PD-users: 374533"
A03,0.4072670586234607,0.08621327053716757,0.8287125922410811,0.10403277486591786,0.2901137624861303,-0.11768722141179513,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A,1.090038776672488,0.8889740611865953,1.3365795319873284,1,(0.05-1],83,52556,(30k-100k],"drug name: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
HR (95% CI): 1.09 (0.89; 1.34)
 p-value: 4.1e-01 (adj.: 1.0e+00)
 PD-users: 83
 non-PD-users: 52556"
A04,0.4401915552697514,0.14369371289310673,0.7718697837531028,0.18616315331637584,0.5085667886416116,-0.22117936285539813,ANTIEMETICS AND ANTINAUSEANTS,A,1.1545304365778601,0.8015728949924544,1.662906190206459,1,(0.05-1],24,14150,(10k-30k],"drug name: ANTIEMETICS AND ANTINAUSEANTS
HR (95% CI): 1.15 (0.8; 1.66)
 p-value: 4.4e-01 (adj.: 1.0e+00)
 PD-users: 24
 non-PD-users: 14150"
A05,0.18660415584706108,0.5394922986611554,1.3206917804995344,0.4084922058476805,1.340122310087931,-0.26113771276562014,BILE AND LIVER THERAPY,A,1.7151358643255594,0.7701748494031133,3.8195106414804365,1,(0.05-1],6,2096,(500-10k],"drug name: BILE AND LIVER THERAPY
HR (95% CI): 1.72 (0.77; 3.82)
 p-value: 1.9e-01 (adj.: 1.0e+00)
 PD-users: 6
 non-PD-users: 2096"
A06,0.6837331282368987,0.06097496957036738,0.40737426112927566,0.14967801206030948,0.35433848248612576,-0.23238854334539097,DRUGS FOR CONSTIPATION,A,1.0628723097036794,0.7926380892133931,1.4252375227841192,1,(0.05-1],25,17761,(10k-30k],"drug name: DRUGS FOR CONSTIPATION
HR (95% CI): 1.06 (0.79; 1.43)
 p-value: 6.8e-01 (adj.: 1.0e+00)
 PD-users: 25
 non-PD-users: 17761"
A07,0.11486027498911701,0.13017074718051516,1.5767186593066642,0.08255800514072408,0.29198146389180696,-0.031639969530776635,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",A,1.1390228516621528,0.9688553367357736,1.339078196110925,1,(0.05-1],144,65755,(30k-100k],"drug name: ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS
HR (95% CI): 1.14 (0.97; 1.34)
 p-value: 1.1e-01 (adj.: 1.0e+00)
 PD-users: 144
 non-PD-users: 65755"
A08,0.7117373495263566,0.03388538602688349,0.36952378274146586,0.09170014924476759,0.21361437592357577,-0.1458436038698088,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",A,1.0344660356708955,0.8642928646743873,1.2381451041595883,1,(0.05-1],121,77020,(30k-100k],"drug name: ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS
HR (95% CI): 1.03 (0.86; 1.24)
 p-value: 7.1e-01 (adj.: 1.0e+00)
 PD-users: 121
 non-PD-users: 77020"
A09,0.3697342677833584,0.20608744743038898,0.8969712324551997,0.22975926091440427,0.6564073239371626,-0.2442324290763846,"DIGESTIVES, INCL. ENZYMES",A,1.2288606600038912,0.7833055501173167,1.927853723848924,1,(0.05-1],19,6063,(500-10k],"drug name: DIGESTIVES, INCL. ENZYMES
HR (95% CI): 1.23 (0.78; 1.93)
 p-value: 3.7e-01 (adj.: 1.0e+00)
 PD-users: 19
 non-PD-users: 6063"
A10,0.21992143950888243,-0.0631035507956197,-1.2267370447602994,0.051440160762366106,0.037717311657568295,-0.1639244132488077,DRUGS USED IN DIABETES,A,0.9388462503792532,0.8488061779568852,1.0384376371680408,1,(0.05-1],405,137711,(100k-250k],"drug name: DRUGS USED IN DIABETES
HR (95% CI): 0.94 (0.85; 1.04)
 p-value: 2.2e-01 (adj.: 1.0e+00)
 PD-users: 405
 non-PD-users: 137711"
