ATC_code,pvals,coeff,z.obs,SE,CI.high,CI.low,name,group,HR,HR_l,HR_u,p.adj.FDR,p.val.group,N.nonpd,N.pd,users.group,hover.text
A01,0.013197812540711108,0.22400008574769348,2.478386414441515,0.09038142092873365,0.40114441563956604,0.046855755855820885,STOMATOLOGICAL PREPARATIONS,A,1.2510711267048211,1.0479708345207452,1.4935329424413357,0.21285633812414728,(0.05-1],40405,119,(30k-100k],"drug name: STOMATOLOGICAL PREPARATIONS
HR (95% CI): 1.25 (1.05; 1.49)
 p-value: 1.3e-02 (adj.: 2.1e-01)
 PD-users: 119
 non-PD-users: 40405"
A02,0.0017269800297935469,0.08994410653016871,3.1335627252268035,0.028703464528114293,0.14620186323679568,0.03368634982354173,DRUGS FOR ACID RELATED DISORDERS,A,1.094113128217006,1.0342601599677084,1.157429806997669,0.03481624739151457,(0.01-0.05],471253,1625,(250k-1mln],"drug name: DRUGS FOR ACID RELATED DISORDERS
HR (95% CI): 1.09 (1.03; 1.16)
 p-value: 1.7e-03 (adj.: 3.5e-02)
 PD-users: 1625
 non-PD-users: 471253"
A03,9.768253143557237e-6,0.23307551151834835,4.422240732621826,0.052705297067842855,0.33637599556580483,0.12977502747089187,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A,1.2624768072686336,1.138572207040399,1.3998652690058593,2.813283569846867e-4,(0.0001-0.001],129286,358,(100k-250k],"drug name: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
HR (95% CI): 1.26 (1.14; 1.4)
 p-value: 9.8e-06 (adj.: 2.8e-04)
 PD-users: 358
 non-PD-users: 129286"
A04,0.3677710758202348,0.08831436536379944,0.9006563273170833,0.09805556535296249,0.2804997419393194,-0.10387101121172054,ANTIEMETICS AND ANTINAUSEANTS,A,1.092331459235279,0.90134155287795,1.3237912010438986,1,(0.05-1],52914,95,(30k-100k],"drug name: ANTIEMETICS AND ANTINAUSEANTS
HR (95% CI): 1.09 (0.9; 1.32)
 p-value: 3.7e-01 (adj.: 1.0e+00)
 PD-users: 95
 non-PD-users: 52914"
A05,0.3691883284400075,0.25949440928429207,0.8979947874282589,0.2889709527462298,0.8258670692451282,-0.306878250676544,BILE AND LIVER THERAPY,A,1.296274536589012,0.7357401713226719,2.2838601719792737,1,(0.05-1],4394,12,(500-10k],"drug name: BILE AND LIVER THERAPY
HR (95% CI): 1.3 (0.74; 2.28)
 p-value: 3.7e-01 (adj.: 1.0e+00)
 PD-users: 12
 non-PD-users: 4394"
A06,8.91582289007082e-22,0.5406016001838663,9.588750427030764,0.056378733005700725,0.6511018863690393,0.4301013139986932,DRUGS FOR CONSTIPATION,A,1.717039522821934,1.5374132771448898,1.9176527006503314,5.991489769895081e-20,(0-0.00001],90329,289,(30k-100k],"drug name: DRUGS FOR CONSTIPATION
HR (95% CI): 1.72 (1.54; 1.92)
 p-value: 8.9e-22 (adj.: 6.0e-20)
 PD-users: 289
 non-PD-users: 90329"
A07,0.12222320487762846,0.08693022547047378,1.5455089535743798,0.05624698923252802,0.1971722986050409,-0.023311847664093333,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",A,1.090820565571134,0.97695777426445,1.2179538743819247,1,(0.05-1],107982,322,(100k-250k],"drug name: ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS
HR (95% CI): 1.09 (0.98; 1.22)
 p-value: 1.2e-01 (adj.: 1.0e+00)
 PD-users: 322
 non-PD-users: 107982"
A08,0.6471890109311336,-0.03529821373932152,-0.4576707423108847,0.0771257816505655,0.11586554057528697,-0.18646196805393,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",A,0.9653175023877447,0.8298901236875931,1.122844884905388,1,(0.05-1],68824,168,(30k-100k],"drug name: ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS
HR (95% CI): 0.97 (0.83; 1.12)
 p-value: 6.5e-01 (adj.: 1.0e+00)
 PD-users: 168
 non-PD-users: 68824"
A09,0.7921119498430741,0.04532840373423718,0.2635691279739177,0.1719791846741732,0.3824014117861794,-0.29174460431770505,"DIGESTIVES, INCL. ENZYMES",A,1.0463714357767382,0.7469592817899107,1.4658003565948348,1,(0.05-1],10049,34,(10k-30k],"drug name: DIGESTIVES, INCL. ENZYMES
HR (95% CI): 1.05 (0.75; 1.47)
 p-value: 7.9e-01 (adj.: 1.0e+00)
 PD-users: 34
 non-PD-users: 10049"
A10,0.3089592888743675,0.04688664859849762,1.0174081871432152,0.0460844026920511,0.13721041812395848,-0.04343712092696323,DRUGS USED IN DIABETES,A,1.0480032097141454,0.9574927584552408,1.1470694873380527,1,(0.05-1],121186,525,(100k-250k],"drug name: DRUGS USED IN DIABETES
HR (95% CI): 1.05 (0.96; 1.15)
 p-value: 3.1e-01 (adj.: 1.0e+00)
 PD-users: 525
 non-PD-users: 121186"
