ATC_code,pvals,coeff,z.obs,SE,CI.high,CI.low,name,group,HR,HR_l,HR_u,p.adj.FDR,p.val.group,N.nonpd,N.pd,users.group,hover.text
A01,0.28469664928035704,0.16751978458201575,1.069828193631817,0.15658568878552842,0.4744220950960488,-0.1393825259320173,STOMATOLOGICAL PREPARATIONS,A,1.1823686826236905,0.8698952073310123,1.607085186661244,1,(0.05-1],11351,41,(10k-30k],"drug name: STOMATOLOGICAL PREPARATIONS
HR (95% CI): 1.18 (0.87; 1.61)
 p-value: 2.8e-01 (adj.: 1.0e+00)
 PD-users: 41
 non-PD-users: 11351"
A02,7.803799307136719e-5,0.1082554589977718,3.950346931886772,0.027404038395702785,0.16196638728430204,0.054544530711241546,DRUGS FOR ACID RELATED DISORDERS,A,1.1143323752610572,1.056059502447423,1.1758207181292522,0.0021810803178275045,(0.001-0.01],300775,1651,(250k-1mln],"drug name: DRUGS FOR ACID RELATED DISORDERS
HR (95% CI): 1.11 (1.06; 1.18)
 p-value: 7.8e-05 (adj.: 2.2e-03)
 PD-users: 1651
 non-PD-users: 300775"
A03,1.653207414068668e-6,0.44061833468248435,4.791764677260066,0.09195324986919645,0.6208433926875218,0.26039327667744694,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A,1.55366760812679,1.2974402393301339,1.8604965094875616,6.468758631888157e-5,(0.00001-0.0001],28872,120,(10k-30k],"drug name: DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
HR (95% CI): 1.55 (1.3; 1.86)
 p-value: 1.7e-06 (adj.: 6.5e-05)
 PD-users: 120
 non-PD-users: 28872"
A04,0.04082272537217909,-0.4468882012849586,-2.0453260375153954,0.21849240321011404,-0.018650960097531477,-0.8751254424723858,ANTIEMETICS AND ANTINAUSEANTS,A,0.6396154124589221,0.4168097307558106,0.9815218927666401,0.532444497246681,(0.05-1],17230,21,(10k-30k],"drug name: ANTIEMETICS AND ANTINAUSEANTS
HR (95% CI): 0.64 (0.42; 0.98)
 p-value: 4.1e-02 (adj.: 5.3e-01)
 PD-users: 21
 non-PD-users: 17230"
A05,0.1910406310501982,0.5339658587552751,1.3075068469630142,0.40838475147991293,1.334385263491245,-0.2664535459806946,BILE AND LIVER THERAPY,A,1.7056834123026678,0.7660915909331582,3.797660668041865,1,(0.05-1],940,6,(500-10k],"drug name: BILE AND LIVER THERAPY
HR (95% CI): 1.71 (0.77; 3.8)
 p-value: 1.9e-01 (adj.: 1.0e+00)
 PD-users: 6
 non-PD-users: 940"
A06,2.356189222336206e-6,0.40049116007363866,4.720194771202814,0.08484632085882853,0.5667868931776721,0.23419542696960524,DRUGS FOR CONSTIPATION,A,1.4925576023416494,1.2638914665534862,1.7625945385822244,8.381294138590658e-5,(0.00001-0.0001],37013,143,(30k-100k],"drug name: DRUGS FOR CONSTIPATION
HR (95% CI): 1.49 (1.26; 1.76)
 p-value: 2.4e-06 (adj.: 8.4e-05)
 PD-users: 143
 non-PD-users: 37013"
A07,0.43606458579872226,-0.061188384404640965,-0.7788559315166014,0.07856187765751994,0.09279006636194004,-0.21516683517122198,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",A,0.9406460200433532,0.8064068919220599,1.0972313653154129,1,(0.05-1],41113,165,(30k-100k],"drug name: ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS
HR (95% CI): 0.94 (0.81; 1.1)
 p-value: 4.4e-01 (adj.: 1.0e+00)
 PD-users: 165
 non-PD-users: 41113"
A08,0.9123615816052633,-0.014892584174473774,-0.11006026372465032,0.13531299735690408,0.2503160172852217,-0.2801011856341692,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",A,0.9852177618986837,0.7557072708674792,1.2844312550366679,1,(0.05-1],12526,55,(10k-30k],"drug name: ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS
HR (95% CI): 0.99 (0.76; 1.28)
 p-value: 9.1e-01 (adj.: 1.0e+00)
 PD-users: 55
 non-PD-users: 12526"
A09,0.7233354849677823,-0.07090466237690965,-0.3540045345055509,0.2002930908101061,0.3216625819631087,-0.46347190671692795,"DIGESTIVES, INCL. ENZYMES",A,0.9315506997236721,0.6290956879678695,1.3794192564867565,1,(0.05-1],5742,25,(500-10k],"drug name: DIGESTIVES, INCL. ENZYMES
HR (95% CI): 0.93 (0.63; 1.38)
 p-value: 7.2e-01 (adj.: 1.0e+00)
 PD-users: 25
 non-PD-users: 5742"
A10,0.5366378394919201,-0.021700648625934637,-0.6179051871806381,0.03511970618817718,0.04713271065052109,-0.09053400790239037,DRUGS USED IN DIABETES,A,0.9785331164447754,0.9134432690831971,1.048261115263538,1,(0.05-1],146266,916,(100k-250k],"drug name: DRUGS USED IN DIABETES
HR (95% CI): 0.98 (0.91; 1.05)
 p-value: 5.4e-01 (adj.: 1.0e+00)
 PD-users: 916
 non-PD-users: 146266"
